#{"t_start": 1656948295.0103543, "env_id": "CustomHopper-source-v0"}
r,l,t
821.989275,276,102.313068
604.977768,200,102.452963
784.525815,269,102.639928
775.579746,267,102.825725
653.120863,228,102.983163
815.518567,263,103.165264
284.82661,131,103.462746
792.901029,255,103.641517
454.062796,180,103.767327
814.458695,284,103.965898
595.183477,216,104.11734
595.157155,192,104.251718
752.027744,266,104.438524
843.815189,277,104.634152
779.418135,265,104.819326
724.760359,241,105.195672
781.721344,275,105.388886
513.589431,185,105.517761
751.770786,275,105.709107
627.887471,202,105.848441
600.555685,192,105.981952
527.484778,192,106.116012
514.518343,194,106.251763
599.830944,202,106.392452
1277.213177,422,107.271502
774.529839,240,107.439374
903.255127,291,107.642687
1209.736264,425,107.939627
1379.259396,500,108.287402
1178.862466,356,108.737335
1001.218459,331,108.966727
805.130695,284,109.163005
1065.444175,354,109.406751
1185.175058,378,109.669022
726.280776,225,109.824269
1384.983407,475,110.352787
814.764942,272,110.541954
897.133758,293,110.745214
824.274137,255,110.921995
961.038067,303,111.132331
970.200023,322,111.35429
1377.437609,455,112.426605
1335.245359,500,112.771923
1322.208384,500,113.117959
1451.19614,500,113.464801
1398.363966,439,113.972653
1137.152041,345,114.211619
1527.755379,500,114.558534
1008.783954,309,114.772661
1067.48148,340,115.009873
1058.28477,331,115.436611
1488.858816,500,115.782836
821.885627,262,115.964303
1489.84963,500,116.310365
982.89513,324,116.533798
709.486908,221,117.385864
617.807184,203,117.528114
582.858546,197,117.664987
446.756929,153,117.773004
581.405216,216,117.924074
610.453846,208,118.069318
800.178501,248,118.241813
571.543718,185,118.37019
634.592779,210,118.51773
650.403529,205,118.660144
867.105958,280,119.055034
662.83197,210,119.20084
354.829966,144,119.302508
493.719973,173,119.422944
634.096118,207,119.56797
640.805929,202,119.708207
684.315717,225,119.865702
522.145911,173,119.986487
607.622735,199,120.125752
629.31589,198,120.264258
606.734706,199,120.608998
521.047831,167,120.725187
622.738591,205,120.867182
566.227081,185,120.995095
862.948078,273,121.184261
410.164166,143,121.283483
600.629318,207,121.427129
820.008508,261,121.608157
490.317074,165,121.723839
643.992881,205,121.865949
763.631154,245,122.556318
695.145687,213,122.703164
871.654421,256,122.880481
894.177104,273,123.070121
894.452891,262,123.250965
904.994072,290,123.452145
873.887545,261,123.632905
1125.316415,340,124.06645
796.096073,238,124.231447
584.0067,200,124.370502
442.113547,150,124.475184
818.342726,252,124.651211
600.215845,195,124.786471
760.528826,242,124.954494
719.70256,226,125.111574
696.30771,221,125.265112
674.534697,205,125.408192
812.16452,243,125.783103
666.845566,211,125.930036
754.237145,232,126.090733
667.803854,216,126.241116
630.274964,185,126.370229
895.189042,279,126.563882
670.926906,206,126.7064
600.662434,186,126.83599
697.43574,207,126.980495
1062.942572,360,127.700489
1382.735009,500,128.045652
781.276644,247,128.216377
1276.432479,417,128.505002
1362.681969,500,128.851292
1387.575994,500,129.40059
1393.031575,500,129.749124
1524.272395,483,130.085073
1258.963446,401,130.364422
1526.376653,500,130.91079
873.428785,257,131.089641
772.489855,256,131.266809
1070.474006,352,131.512562
1527.904842,500,131.861227
563.770354,179,132.668299
1217.627377,384,132.934523
620.123739,214,133.084017
883.698672,276,133.276906
1071.396478,310,133.492152
794.978306,255,133.669043
542.241534,169,133.786693
1080.678528,344,134.225545
793.376149,240,134.392359
819.666823,250,134.566636
870.030469,252,134.741441
597.194216,207,134.885144
823.432635,247,135.056499
858.538487,251,135.23089
996.542186,291,135.432797
864.40138,266,135.818407
754.784053,226,135.975193
1146.323808,356,136.222571
624.752911,195,136.359154
781.566093,237,136.522767
637.201078,212,136.670643
869.988943,262,136.853145
774.965813,239,137.019732
673.676399,208,137.165672
650.595839,205,137.793908
606.781911,192,137.928203
632.232875,216,138.079448
855.513899,258,138.25977
588.326906,193,138.394954
676.640929,216,138.547025
627.305343,208,138.691538
577.077251,196,138.829023
544.477964,174,138.95135
651.558013,204,139.30055
543.881616,187,139.433515
591.949874,195,139.572488
613.182715,193,139.708971
631.035381,208,139.85548
571.163593,178,139.981517
586.833261,181,140.110554
655.249261,210,140.259179
624.34442,203,140.403633
646.399977,200,140.54443
600.710131,197,140.683036
675.680565,210,141.032828
612.072511,196,141.171369
797.18593,244,141.343244
758.525013,234,141.50795
572.425779,190,141.640877
689.327177,217,141.793964
738.525207,227,141.95298
374.773346,141,142.052302
662.975617,211,142.201415
747.886957,232,142.364609
838.060592,248,142.933986
540.633842,162,143.04659
851.801066,262,143.227173
860.337244,262,143.409364
625.434191,200,143.547674
872.913517,244,143.71652
1258.606492,376,143.977805
